#Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
10.00000000000001,-0.001632312143870279,-0.2761603420315311
10.06931668851806,-0.001986588590324099,-0.2783678607582942
10.1391138573668,-0.002066383812658489,-0.2799002721365014
10.20939483707681,-0.001976436661929296,-0.2818360739048984
10.28016298126474,-0.001799582675162119,-0.2837363545308875
10.35142166679345,-0.001971519200721289,-0.2857509670463969
10.42317429393305,-0.001789519502576904,-0.2882290958587106
10.49542428652323,-0.002088269312825142,-0.2899397621840478
10.5681750921366,-0.001855510516023721,-0.2916781014157408
10.64143018224317,-0.001839846909093365,-0.2939821837541317
10.71519305237607,-0.001799953375709333,-0.2963164087450707
10.7894672222983,-0.001851067345985994,-0.2982669989907691
10.86425623617067,-0.00169598044444971,-0.3004902686765938
10.93956366272095,-0.001894598257652599,-0.3016970913141961
11.01539309541416,-0.001469880473509174,-0.3047540212534727
11.09174815262402,-0.001616972349574201,-0.3061161879695362
11.16863247780562,-0.00177136263035061,-0.3080047545645694
11.24604973966928,-0.001695194169302905,-0.3103450518873672
11.32400363235558,-0.00162545545386577,-0.312678599585098
11.4024978756117,-0.001818745279020705,-0.3147761867011383
11.48153621496884,-0.001867677097373314,-0.3175258270144639
11.56112242192101,-0.0017529165809834,-0.319269421662483
11.64126029410492,-0.00200893524774585,-0.3215605649713495
11.72195365548131,-0.00149626153792254,-0.3236585641867618
11.80320635651731,-0.001879232515313111,-0.3259865491906169
11.8850222743702,-0.001768858043263583,-0.3280429464016379
11.96740531307244,-0.002030065113563921,-0.3308886642176709
12.05035940371799,-0.001910106796700971,-0.3333046874698056
12.13388850464979,-0.001898384448198652,-0.3351384866138289
12.21799660164874,-0.002088113584844738,-0.3376977184937715
12.30268770812382,-0.002002086373683945,-0.3398126354776618
12.3879658653037,-0.001956398704541428,-0.3421073447184853
12.47383514242945,-0.002082367009255192,-0.3447994310315892
12.56029963694877,-0.002070362255807329,-0.3470756394373069
12.64736347471152,-0.002155528118000051,-0.3492329107892493
12.73503081016663,-0.001994613924838485,-0.3524043083356503
12.82330582656023,-0.002219435077622789,-0.3547199374786771
12.91219273613536,-0.002139315259846148,-0.3561183061926982
13.00169578033291,-0.00229556150101414,-0.3595000657597893
13.09181922999408,-0.001991377629406506,-0.3619667754436762
13.18256738556409,-0.002120237158102154,-0.3641462751219322
13.27394457729741,-0.002077791511097017,-0.3670456468568517
13.36595516546443,-0.002107680022674319,-0.3693776388518586
13.4586035405595,-0.001944515651238168,-0.3715518879113802
13.55189412351038,-0.001964961443460242,-0.3743390296650713
13.64583136588927,-0.002073694724557995,-0.3773485149078084
13.74041975012516,-0.002123465530451829,-0.3796448823620153
13.83566378971783,-0.001908398099319803,-0.3824044435110068
13.93156802945305,-0.00212991753357756,-0.3852634815386153
14.0281370456196,-0.002017808712927786,-0.3877083626547773
14.12537544622755,-0.002017548527731218,-0.3902625352997919
14.22328787122821,-0.002173103535070515,-0.3932136176460119
14.32187899273545,-0.002224388353827397,-0.3958549200780652
14.42115351524871,-0.002210574923871006,-0.3986541455669013
14.52111617587743,-0.001952608689745011,-0.4010254698626312
14.6217717445672,-0.002023019036835624,-0.4042049709178741
14.72312502432721,-0.002218450046061239,-0.4065128458596448
14.82518085145956,-0.002130464596794084,-0.4101575957791965
14.92794409578998,-0.001801398619283802,-0.4123632174522243
15.03141966090022,-0.002079307911956338,-0.4163427827716966
15.1356124843621,-0.002082384554775397,-0.4186569515626815
15.24052753797292,-0.00212889983968931,-0.4212112788591043
15.34616982799296,-0.002198838923598014,-0.4243274521553957
15.45254439538414,-0.002207134701447775,-0.4268147525942254
15.55965631605077,-0.001896399379368397,-0.4303029275105104
15.6675107010815,-0.002130593406365771,-0.4334443232985024
15.7761126969935,-0.002173118660088386,-0.4359055348669187
15.88546748597779,-0.001973829680940675,-0.4390325502503103
15.99558028614671,-0.00200611539387609,-0.4423901767574421
16.10645635178271,-0.002182458094560918,-0.4452380552067154
16.21810097358932,-0.002109141914541228,-0.4479164316134785
16.33051947894334,-0.002089711790325888,-0.4509918909237456
16.44371723214933,-0.002013134346826217,-0.4549146458173539
16.55769963469529,-0.002153270090397217,-0.457735605233978
16.67247212551064,-0.002061314726192858,-0.460169714893226
16.78804018122561,-0.002064118391571496,-0.4640050446008057
16.90440931643265,-0.002215181460625127,-0.4668717588435101
17.02158508394952,-0.002084952209497689,-0.470213581402021
17.13957307508427,-0.00216077018440549,-0.4740800019433138
17.25837891990204,-0.002291677277272489,-0.4767696252367557
17.37800828749376,-0.002014902017843336,-0.4799808477166181
17.49846688624658,-0.002248978030949777,-0.4836433282656429
17.61976046411631,-0.002096914689502365,-0.4862646911246884
17.74189480890166,-0.001997739133669769,-0.4900538155678387
17.86487574852051,-0.002012366042727525,-0.4932042854287602
17.98870915128789,-0.002017818666200457,-0.4967697364979564
18.11340092619604,-0.002140809772468018,-0.5003085125346303
18.23895702319638,-0.002166741568111428,-0.5040018555327777
18.36538343348347,-0.00220532639110573,-0.5075359692788481
18.4926861897808,-0.002190942468113996,-0.5110597001001054
18.62087136662869,-0.002280041784094815,-0.5149585613804533
18.74994508067419,-0.002200606692706678,-0.5175613240221679
18.87991349096295,-0.002217631760244255,-0.5219957445697361
19.01078279923302,-0.002049608888091446,-0.5251493936152727
19.14255925021088,-0.002146106205530499,-0.5288225120543331
19.27524913190937,-0.002132210970021359,-0.5327036866170971
19.40885877592779,-0.002143904258367908,-0.5361539173598118
19.54339455775396,-0.002128720853725982,-0.5397122183285816
19.67886289706847,-0.002111740667894606,-0.5434756679198642
19.81527025805099,-0.002075655177335526,-0.5473896979204245
19.95262314968881,-0.00221916286828693,-0.5516287273225942
20.0909281260873,-0.00207135625417573,-0.5542794160229221
20.23019178678274,-0.002165926577453749,-0.5591031732178351
20.37042077705719,-0.002004246064395658,-0.5627806562215483
20.51162178825567,-0.002031364871868873,-0.5665569789113509
20.65380155810531,-0.002253697261117826,-0.5710628137357219
20.79696687103698,-0.001956867569603921,-0.5747606925784767
20.94112455850894,-0.002086067692664314,-0.5787285627635583
21.08628149933291,-0.002009973423457752,-0.5828410726577093
21.23244462000221,-0.002406254599161556,-0.5871459265156318
21.37962089502235,-0.001946484449969327,-0.5903675352654481
21.52781734724374,-0.001856032563658274,-0.595446899976281
21.67704104819696,-0.002005500882152809,-0.5987880801330192
21.82729911843003,-0.002108018327786267,-0.6030603695914749
21.97859872784828,-0.001945828199048596,-0.6069205103347812
22.13094709605638,-0.002039306532574758,-0.6112315525257799
22.28435149270305,-0.002212518835570171,-0.6159786150842095
22.43881923782768,-0.001872626664597462,-0.6196283980591204
22.59435770220981,-0.00211694779093696,-0.6242344382728646
22.75097430772071,-0.002102379913962617,-0.628652686339791
22.90867652767774,-0.001845917658193936,-0.6326506029007035
23.06747188720071,-0.001827647755016884,-0.6375037437291269
23.2273679635711,-0.002087096053358329,-0.6414349378966406
23.38837238659356,-0.002034578566952417,-0.645839989754279
23.55049283896011,-0.00198824815121758,-0.6503654473921401
23.71373705661658,-0.001859291775454903,-0.6545860808465989
23.87811282913181,-0.002146746755540661,-0.6601005285262147
24.04362800006935,-0.002174690530620545,-0.6646829536834815
24.2102904673618,-0.002051558648494103,-0.6689455118866476
24.37810818368755,-0.002231282598681661,-0.6731711428780089
24.54708915685034,-0.002150298925905889,-0.6784318163142729
24.71724145016132,-0.002233420624134283,-0.683374553192337
24.88857318282393,-0.002113633619135183,-0.6872578040584063
25.06109253032117,-0.002073998154641948,-0.6922020030103795
25.23480772480578,-0.002219933626114297,-0.6963434214282245
25.40972705549306,-0.00204974603162129,-0.7018633633077656
25.58585886905648,-0.002310071545546297,-0.7072492645401525
25.76321157002578,-0.002151257662797256,-0.7114272062179055
25.94179362118818,-0.002381250499993508,-0.7168118742940806
26.12161354399208,-0.00240937582755154,-0.7218775954710992
26.30267991895384,-0.002307166806130855,-0.7261267149958357
26.48500138606704,-0.002219001628935052,-0.7312959641723467
26.66858664521483,-0.002038221017624284,-0.7364709497648718
26.85344445658509,-0.002052032766346909,-0.7416309069920715
27.03958364108846,-0.001998809569800931,-0.7469869938265106
27.22701308077915,-0.002148608719425141,-0.7523233198348827
27.41574171927887,-0.002169875490728869,-0.7573019111711119
27.60577856220348,-0.002164831281915883,-0.7619004822285547
27.79713267759291,-0.002304566190214699,-0.7680058959954579
27.98981319634366,-0.002460123509097206,-0.7733881475933515
28.18382931264458,-0.002069419518719712,-0.7782779183837372
28.37919028441558,-0.002217850544869149,-0.7833583860302156
28.57590543374949,-0.002235367269330631,-0.7898891777794006
28.77398414735673,-0.002208075303653754,-0.7950665247106699
28.97343587701327,-0.002091140177880941,-0.7997727594419786
29.17427014001169,-0.002177606891526422,-0.8056869637682667
29.37649651961533,-0.002137856604155118,-0.8114949112614696
29.58012466551549,-0.002090042133524979,-0.816453452464998
29.78516429429194,-0.00242484126965129,-0.8225201999289595
29.99162518987653,-0.002182410971595432,-0.8285127789571831
30.19951720402019,-0.002148617906802854,-0.8338544073088485
30.40885025676283,-0.002409419268233042,-0.8400724842056491
30.61963433690682,-0.002318847508634525,-0.8460676027737151
30.83187950249356,-0.002526927266490225,-0.8513177073757205
31.04559588128359,-0.002381111306356355,-0.8575595866814183
31.26079367123959,-0.002263235602357595,-0.8640306383038521
31.47748314101321,-0.002175885883649526,-0.8695037046558767
31.69567463043494,-0.0024695002678977,-0.875087750404731
31.91537855100765,-0.002198519997467705,-0.8816372188299297
32.13660538640321,-0.002182306902980425,-0.8882527894555876
32.35936569296288,-0.002247035941550377,-0.8936013233830664
32.5836701002009,-0.002219981239263777,-0.9005350438659718
32.80952931131191,-0.002136564557685814,-0.9061899869545869
33.03695410368152,-0.002181903453027665,-0.9126933179109367
33.26595532940047,-0.002234004205863047,-0.9188442281269289
33.49654391578279,-0.002312719694770297,-0.9251678732111941
33.72873086588689,-0.002258916182102204,-0.9317849887702465
33.96252725904089,-0.002439490550182269,-0.9380270621689277
34.19794425137091,-0.002336785665774982,-0.9465369618831474
34.43499307633387,-0.002435541230313471,-0.9508100416461573
34.67368504525317,-0.002108057386616603,-0.9573944494842408
34.91403154785866,-0.002413413735600823,-0.9646945679199206
35.15604405282983,-0.002387077036339345,-0.9712655936216521
35.3997341083435,-0.002296535396479815,-0.9777802478924063
35.64511334262443,-0.002563541327548026,-0.9847014687682218
35.89219346450057,-0.002512355656925682,-0.9909985097795726
36.14098626396135,-0.00241319950692042,-0.9984203985229101
36.39150361272075,-0.002433405249969559,-1.00618543927893
36.64375746478333,-0.002410659889346782,-1.011365055458617
36.89775985701508,-0.002344039848075304,-1.018088834037858
37.15352290971728,-0.002452105333677743,-1.026052103424789
37.41105882720537,-0.002530623101144843,-1.033586763201953
37.67037989839089,-0.002360050922448638,-1.040913679383479
37.93149849736825,-0.002284563675551483,-1.04747718509996
38.19442708400468,-0.002615656026867494,-1.054891558933306
38.45917820453539,-0.002684084376625088,-1.062277144316937
38.72576449216173,-0.002614127656030618,-1.06966637464555
38.99419866765439,-0.002784459727236135,-1.076435037575664
39.26449353996001,-0.002556730279192712,-1.083857376564737
39.53666200681283,-0.002445056597517935,-1.092276657512571
39.81071705534973,-0.002531400733914372,-1.099768528921288
40.08667176273034,-0.002502942368139215,-1.107213603166109
40.36453929676053,-0.002527169232268438,-1.114696862413982
40.64433291652131,-0.002700582582965779,-1.122359056299608
40.9260659730011,-0.002617945315627093,-1.13023649265471
41.20975190973304,-0.002716039713160525,-1.138819256567068
41.49540426343633,-0.002705421212246529,-1.146116181645866
41.78303666466222,-0.002553262507679076,-1.154939432825714
42.07266283844442,-0.002361968602814106,-1.161745384263355
42.36429660495413,-0.002601627026963954,-1.170492915934261
42.6579518801593,-0.00259682643514995,-1.17795182257683
42.95364267648878,-0.002499499056768983,-1.186117926481842
43.25138310350088,-0.002645466122615849,-1.195459286780164
43.55118736855688,-0.002522647022438371,-1.201777691280718
43.8530697774986,-0.002709290753842152,-1.212352297661056
44.1570447353313,-0.002438720145937011,-1.21923044798487
44.46312674691089,-0.002440121915675433,-1.226801480809087
44.77133041763628,-0.002904966489285365,-1.235605206795299
45.08167045414605,-0.00292604130296687,-1.243758825305662
45.39416166502037,-0.002625690046500762,-1.252302462257148
45.70881896148752,-0.002646438137458089,-1.264412092546003
46.02565735813563,-0.002955590463565505,-1.27011500063773
46.34469197362884,-0.00270392508322128,-1.282205382498276
46.66593803142892,-0.002652741018038492,-1.287953751136897
46.98941086052156,-0.002767564819581363,-1.295680886037978
47.31512589614807,-0.002578969695048761,-1.304688480896132
47.64309868054161,-0.002589019663122076,-1.313898289459289
47.97334486366897,-0.002276537579495041,-1.325295993606737
48.30588020397728,-0.002868752732830257,-1.335563925408437
48.6407205691462,-0.002481028635409494,-1.341535112589241
48.97788193684466,-0.002970629922817825,-1.353781135293531
49.31738039549364,-0.002494791579924756,-1.362493612511088
49.65923214503363,-0.002528504441631356,-1.3698629320902
50.00345349769788,-0.002335607291995969,-1.37918236052781
50.35006087879053,-0.002699161583935863,-1.388239737554727
50.6990708274705,-0.002436777376173621,-1.400777225402408
51.05049999754065,-0.003001878756540859,-1.411673559139558
51.40436515824264,-0.002778809539757747,-1.417243745836529
51.76068319505681,-0.002953811518331455,-1.431349344032981
52.11947111050811,-0.002606993964555321,-1.438161953028882
52.48074602497728,-0.003082927984581999,-1.447880758630959
52.84452517751808,-0.002917902742182276,-1.459789296160693
53.21082592667948,-0.002860800273553623,-1.471022613873231
53.57966575133423,-0.003167562229815262,-1.479061467529593
53.95106225151279,-0.003040118010438411,-1.488219296861885
54.32503314924336,-0.002839865865083599,-1.500230472240048
54.70159628939721,-0.003461792964224746,-1.511544383212964
55.08076964054041,-0.002629799203587215,-1.520788840156825
55.4625712957911,-0.003174548270301664,-1.530282083582023
55.84701947368313,-0.00297808626268028,-1.542990311085578
56.23413251903497,-0.002747210572220883,-1.554638868196085
56.62392890382534,-0.002711766869869092,-1.564738483865547
57.01642722807478,-0.002942046043295692,-1.576386736862275
57.4116462207328,-0.003259732212604256,-1.585783862822268
57.80960474057186,-0.003256777130007085,-1.595719892409015
58.21032177708716,-0.002979244949330737,-1.607806716928387
58.6138164514029,-0.003303322265914597,-1.617791485991404
59.02010801718448,-0.003023350812423717,-1.629536300386974
59.42921586155732,-0.003277695194589709,-1.6402244222039
59.84115950603199,-0.0034309264815802,-1.652306664465641
60.25595860743581,-0.003238349251992723,-1.663098246678864
60.67363295885059,-0.003359268910584153,-1.674585315350569
61.09420249055727,-0.003233135812316872,-1.685899233622265
61.51768727098683,-0.003105003310226501,-1.698382422636755
61.94410750767818,-0.003229711232942041,-1.711311002068296
62.37348354824198,-0.003167119249920899,-1.72233596668957
62.80583588133187,-0.003215255432432706,-1.734158617087568
63.24118513762197,-0.003194852390245972,-1.746546916806594
63.67955209079162,-0.003137552176656793,-1.758951189444968
64.12095765851622,-0.003227683551439924,-1.770202526176718
64.56542290346563,-0.003190387833367208,-1.783268405564428
65.01296903430909,-0.003118837675906483,-1.795589335692412
65.46361740672754,-0.003223482734730967,-1.80779449209647
65.9173895244322,-0.003346049705919877,-1.820092830120245
66.37430704019096,-0.00308372976564585,-1.83270697661375
66.83439175686149,-0.003258792614849708,-1.845491546232353
67.29766562843182,-0.003165143841019397,-1.858124682064712
67.76415076106757,-0.00315406401887102,-1.870746705294238
68.23386941416705,-0.003327790052767949,-1.883122666802677
68.70684400142325,-0.003505493374284954,-1.897269152113256
69.1830970918937,-0.003413848897211411,-1.910592948548612
