Time (s),Channel 1 (V),Channel 2 (V)
-0.01998848,-4.659703820211448,-0.08865923511438681
-0.01998604,-4.659703820211448,-0.08865923511438681
-0.0199836,-4.693719388500572,-0.09208448691811606
-0.01998116,-4.693719388500572,-0.08865923511438992
-0.01997872,-4.659703820211448,-0.0886592351143837
-0.01997628,-4.659703820211448,-0.08523398331065757
-0.01997384,-4.659703820211448,-0.08523398331065757
-0.0199714,-4.727734956789696,-0.08865923511438681
-0.01996896,-4.761750525078821,-0.08865923511438681
-0.01996652,-4.727734956789727,-0.08523398331066068
-0.01996408,-4.727734956789696,-0.0886592351143837
-0.01996164,-4.727734956789696,-0.08523398331065757
-0.0199592,-4.761750525078821,-0.08865923511438681
-0.01995676,-4.795766093367945,-0.08523398331065757
-0.01995432,-4.795766093367945,-0.08523398331065757
-0.019951879999999998,-4.795766093367914,-0.08523398331065757
-0.01994944,-4.761750525078821,-0.08523398331065757
-0.019947,-4.829781661657069,-0.08180873150692831
-0.01994456,-4.795766093367945,-0.08865923511438681
-0.01994212,-4.761750525078821,-0.08523398331065757
-0.01993968,-4.795766093367914,-0.08180873150693142
-0.01993724,-4.795766093367976,-0.08523398331065757
-0.0199348,-4.829781661657069,-0.08523398331065757
-0.01993236,-4.863797229946194,-0.08523398331065757
-0.01992992,-4.829781661657069,-0.08180873150692831
-0.01992748,-4.829781661657069,-0.08523398331065757
-0.01992504,-4.829781661657069,-0.07838347970320529
-0.0199226,-4.863797229946194,-0.08180873150692831
-0.01992016,-4.863797229946194,-0.08180873150692831
-0.01991772,-4.931828366524442,-0.08180873150692831
-0.01991528,-4.897812798235318,-0.08180873150692831
-0.01991284,-4.931828366524411,-0.08180873150692831
-0.019910399999999998,-4.897812798235349,-0.08180873150692831
-0.01990796,-4.931828366524442,-0.08180873150692831
-0.01990552,-4.965843934813567,-0.07838347970319906
-0.01990308,-4.965843934813567,-0.08180873150692831
-0.01990064,-4.931828366524442,-0.07838347970319906
-0.0198982,-4.999859503102629,-0.07838347970319906
-0.01989576,-4.99985950310266,-0.07495822789947292
-0.01989332,-4.965843934813567,-0.07838347970319906
-0.01989088,-4.999859503102691,-0.08180873150692831
-0.01988844,-4.999859503102691,-0.0749582278994698
-0.019886,-5.033875071391815,-0.0749582278994698
-0.01988356,-4.999859503102722,-0.07838347970319595
-0.01988112,-4.965843934813629,-0.07838347970319906
-0.01987868,-5.033875071391815,-0.07838347970319906
-0.01987624,-5.06789063968094,-0.0749582278994698
-0.0198738,-5.06789063968094,-0.0749582278994698
-0.01987136,-5.06789063968094,-0.07838347970319595
-0.019868919999999998,-5.06789063968094,-0.0749582278994667
-0.01986648,-5.06789063968094,-0.07153297609574055
-0.01986404,-5.101906207970064,-0.07153297609574055
-0.0198616,-5.101906207970064,-0.0749582278994698
-0.01985916,-5.101906207970064,-0.07838347970319906
-0.01985672,-5.135921776259157,-0.07153297609574678
-0.01985428,-5.135921776259188,-0.0749582278994698
-0.01985184,-5.135921776259188,-0.0749582278994698
